id,direct_fixed,eff_year,award_id,total_funding
"('Directorate For Mathematical & Physical Sciences', 2016)",Directorate For Mathematical & Physical Sciences,2016,2214,1241098777
"('Directorate For Mathematical & Physical Sciences', 2017)",Directorate For Mathematical & Physical Sciences,2017,2198,1045745747
"('Directorate For Mathematical & Physical Sciences', 2018)",Directorate For Mathematical & Physical Sciences,2018,2553,1062250733
"('Directorate For Mathematical & Physical Sciences', 2019)",Directorate For Mathematical & Physical Sciences,2019,2285,716125852
"('Directorate for Biological Sciences', 1962)",Directorate for Biological Sciences,1962,1,0
"('Directorate for Biological Sciences', 1963)",Directorate for Biological Sciences,1963,1,15000
"('Directorate for Biological Sciences', 1965)",Directorate for Biological Sciences,1965,1,144000
"('Directorate for Biological Sciences', 1966)",Directorate for Biological Sciences,1966,1,37150
"('Directorate for Biological Sciences', 1967)",Directorate for Biological Sciences,1967,3,1526500
"('Directorate for Biological Sciences', 1968)",Directorate for Biological Sciences,1968,8,917477
"('Directorate for Biological Sciences', 1969)",Directorate for Biological Sciences,1969,13,730100
"('Directorate for Biological Sciences', 1970)",Directorate for Biological Sciences,1970,45,7416294
"('Directorate for Biological Sciences', 1971)",Directorate for Biological Sciences,1971,154,14572291
"('Directorate for Biological Sciences', 1972)",Directorate for Biological Sciences,1972,302,29564060
"('Directorate for Biological Sciences', 1973)",Directorate for Biological Sciences,1973,339,26891057
"('Directorate for Biological Sciences', 1974)",Directorate for Biological Sciences,1974,708,59505119
"('Directorate for Biological Sciences', 1975)",Directorate for Biological Sciences,1975,1012,91261021
"('Directorate for Biological Sciences', 1976)",Directorate for Biological Sciences,1976,1211,85836938
"('Directorate for Biological Sciences', 1977)",Directorate for Biological Sciences,1977,1361,107304233
"('Directorate for Biological Sciences', 1978)",Directorate for Biological Sciences,1978,1411,128927929
"('Directorate for Biological Sciences', 1979)",Directorate for Biological Sciences,1979,1432,131991263
"('Directorate for Biological Sciences', 1980)",Directorate for Biological Sciences,1980,1325,154052703
"('Directorate for Biological Sciences', 1981)",Directorate for Biological Sciences,1981,1321,150939257
"('Directorate for Biological Sciences', 1982)",Directorate for Biological Sciences,1982,1286,146055666
"('Directorate for Biological Sciences', 1983)",Directorate for Biological Sciences,1983,1387,159353458
"('Directorate for Biological Sciences', 1984)",Directorate for Biological Sciences,1984,1616,215827782
"('Directorate for Biological Sciences', 1985)",Directorate for Biological Sciences,1985,1582,217369827
"('Directorate for Biological Sciences', 1986)",Directorate for Biological Sciences,1986,1384,192833386
"('Directorate for Biological Sciences', 1987)",Directorate for Biological Sciences,1987,1470,223825341
"('Directorate for Biological Sciences', 1988)",Directorate for Biological Sciences,1988,1352,225169857
"('Directorate for Biological Sciences', 1989)",Directorate for Biological Sciences,1989,1515,261894251
"('Directorate for Biological Sciences', 1990)",Directorate for Biological Sciences,1990,1521,235081422
"('Directorate for Biological Sciences', 1991)",Directorate for Biological Sciences,1991,1482,332468024
"('Directorate for Biological Sciences', 1992)",Directorate for Biological Sciences,1992,1365,275570034
"('Directorate for Biological Sciences', 1993)",Directorate for Biological Sciences,1993,1355,274925439
"('Directorate for Biological Sciences', 1994)",Directorate for Biological Sciences,1994,1427,324177285
"('Directorate for Biological Sciences', 1995)",Directorate for Biological Sciences,1995,1422,295199834
"('Directorate for Biological Sciences', 1996)",Directorate for Biological Sciences,1996,1379,304628541
"('Directorate for Biological Sciences', 1997)",Directorate for Biological Sciences,1997,1424,317902213
"('Directorate for Biological Sciences', 1998)",Directorate for Biological Sciences,1998,1483,439735510
"('Directorate for Biological Sciences', 1999)",Directorate for Biological Sciences,1999,1433,458593028
"('Directorate for Biological Sciences', 2000)",Directorate for Biological Sciences,2000,1507,501731448
"('Directorate for Biological Sciences', 2001)",Directorate for Biological Sciences,2001,1517,515147610
"('Directorate for Biological Sciences', 2002)",Directorate for Biological Sciences,2002,1458,573368132
"('Directorate for Biological Sciences', 2003)",Directorate for Biological Sciences,2003,1503,643844529
"('Directorate for Biological Sciences', 2004)",Directorate for Biological Sciences,2004,1527,703669927
"('Directorate for Biological Sciences', 2005)",Directorate for Biological Sciences,2005,1393,601130133
"('Directorate for Biological Sciences', 2006)",Directorate for Biological Sciences,2006,1296,632273978
"('Directorate for Biological Sciences', 2007)",Directorate for Biological Sciences,2007,1376,563073352
"('Directorate for Biological Sciences', 2008)",Directorate for Biological Sciences,2008,1333,718693473
"('Directorate for Biological Sciences', 2009)",Directorate for Biological Sciences,2009,1882,930963020
"('Directorate for Biological Sciences', 2010)",Directorate for Biological Sciences,2010,1580,814126299
"('Directorate for Biological Sciences', 2011)",Directorate for Biological Sciences,2011,1430,1071319817
"('Directorate for Biological Sciences', 2012)",Directorate for Biological Sciences,2012,1322,577659538
"('Directorate for Biological Sciences', 2013)",Directorate for Biological Sciences,2013,1322,748376112
"('Directorate for Biological Sciences', 2014)",Directorate for Biological Sciences,2014,1326,646434086
"('Directorate for Biological Sciences', 2015)",Directorate for Biological Sciences,2015,1425,657298093
"('Directorate for Biological Sciences', 2016)",Directorate for Biological Sciences,2016,1425,950054036
"('Directorate for Biological Sciences', 2017)",Directorate for Biological Sciences,2017,1233,699391273
"('Directorate for Biological Sciences', 2018)",Directorate for Biological Sciences,2018,1251,549165851
"('Directorate for Biological Sciences', 2019)",Directorate for Biological Sciences,2019,992,489168067
"('Directorate for Computer & Information Science & Engineering', 1960)",Directorate for Computer & Information Science & Engineering,1960,1,125000
"('Directorate for Computer & Information Science & Engineering', 1961)",Directorate for Computer & Information Science & Engineering,1961,7,485320
"('Directorate for Computer & Information Science & Engineering', 1962)",Directorate for Computer & Information Science & Engineering,1962,8,1870235
"('Directorate for Computer & Information Science & Engineering', 1963)",Directorate for Computer & Information Science & Engineering,1963,3,4562725
"('Directorate for Computer & Information Science & Engineering', 1964)",Directorate for Computer & Information Science & Engineering,1964,5,2675555
"('Directorate for Computer & Information Science & Engineering', 1965)",Directorate for Computer & Information Science & Engineering,1965,5,5724859
"('Directorate for Computer & Information Science & Engineering', 1966)",Directorate for Computer & Information Science & Engineering,1966,7,381322
"('Directorate for Computer & Information Science & Engineering', 1967)",Directorate for Computer & Information Science & Engineering,1967,25,18812875
"('Directorate for Computer & Information Science & Engineering', 1968)",Directorate for Computer & Information Science & Engineering,1968,22,3072834
"('Directorate for Computer & Information Science & Engineering', 1969)",Directorate for Computer & Information Science & Engineering,1969,45,12688656
"('Directorate for Computer & Information Science & Engineering', 1970)",Directorate for Computer & Information Science & Engineering,1970,66,10788700
"('Directorate for Computer & Information Science & Engineering', 1971)",Directorate for Computer & Information Science & Engineering,1971,79,12064643
"('Directorate for Computer & Information Science & Engineering', 1972)",Directorate for Computer & Information Science & Engineering,1972,179,31884135
"('Directorate for Computer & Information Science & Engineering', 1973)",Directorate for Computer & Information Science & Engineering,1973,121,12623688
"('Directorate for Computer & Information Science & Engineering', 1974)",Directorate for Computer & Information Science & Engineering,1974,631,56455275
"('Directorate for Computer & Information Science & Engineering', 1975)",Directorate for Computer & Information Science & Engineering,1975,1433,65386526
"('Directorate for Computer & Information Science & Engineering', 1976)",Directorate for Computer & Information Science & Engineering,1976,1674,74404039
"('Directorate for Computer & Information Science & Engineering', 1977)",Directorate for Computer & Information Science & Engineering,1977,2165,97508606
"('Directorate for Computer & Information Science & Engineering', 1978)",Directorate for Computer & Information Science & Engineering,1978,2105,102832798
"('Directorate for Computer & Information Science & Engineering', 1979)",Directorate for Computer & Information Science & Engineering,1979,1984,101179563
"('Directorate for Computer & Information Science & Engineering', 1980)",Directorate for Computer & Information Science & Engineering,1980,1934,120012836
"('Directorate for Computer & Information Science & Engineering', 1981)",Directorate for Computer & Information Science & Engineering,1981,1687,113386520
"('Directorate for Computer & Information Science & Engineering', 1982)",Directorate for Computer & Information Science & Engineering,1982,333,51809275
"('Directorate for Computer & Information Science & Engineering', 1983)",Directorate for Computer & Information Science & Engineering,1983,318,56398040
"('Directorate for Computer & Information Science & Engineering', 1984)",Directorate for Computer & Information Science & Engineering,1984,359,81866749
"('Directorate for Computer & Information Science & Engineering', 1985)",Directorate for Computer & Information Science & Engineering,1985,399,282852325
"('Directorate for Computer & Information Science & Engineering', 1986)",Directorate for Computer & Information Science & Engineering,1986,332,113961077
"('Directorate for Computer & Information Science & Engineering', 1987)",Directorate for Computer & Information Science & Engineering,1987,463,149104047
"('Directorate for Computer & Information Science & Engineering', 1988)",Directorate for Computer & Information Science & Engineering,1988,456,80694948
"('Directorate for Computer & Information Science & Engineering', 1989)",Directorate for Computer & Information Science & Engineering,1989,508,247866133
"('Directorate for Computer & Information Science & Engineering', 1990)",Directorate for Computer & Information Science & Engineering,1990,646,478572943
"('Directorate for Computer & Information Science & Engineering', 1991)",Directorate for Computer & Information Science & Engineering,1991,746,157388196
"('Directorate for Computer & Information Science & Engineering', 1992)",Directorate for Computer & Information Science & Engineering,1992,793,213194269
"('Directorate for Computer & Information Science & Engineering', 1993)",Directorate for Computer & Information Science & Engineering,1993,711,158869639
"('Directorate for Computer & Information Science & Engineering', 1994)",Directorate for Computer & Information Science & Engineering,1994,782,198777139
"('Directorate for Computer & Information Science & Engineering', 1995)",Directorate for Computer & Information Science & Engineering,1995,746,229978273
"('Directorate for Computer & Information Science & Engineering', 1996)",Directorate for Computer & Information Science & Engineering,1996,664,149281845
"('Directorate for Computer & Information Science & Engineering', 1997)",Directorate for Computer & Information Science & Engineering,1997,791,739207766
"('Directorate for Computer & Information Science & Engineering', 1998)",Directorate for Computer & Information Science & Engineering,1998,761,233122630
"('Directorate for Computer & Information Science & Engineering', 1999)",Directorate for Computer & Information Science & Engineering,1999,839,307449865
"('Directorate for Computer & Information Science & Engineering', 2000)",Directorate for Computer & Information Science & Engineering,2000,1002,553944705
"('Directorate for Computer & Information Science & Engineering', 2001)",Directorate for Computer & Information Science & Engineering,2001,1002,527732148
