,division_fixed,eff_year,award_id,total_funding
0,acf,1973,2,254800
1,acf,1974,6,767400
2,arctic sciences division,2013,2,35261
3,arctic sciences division,2014,1,37863
4,budget division,1988,1,49819
5,budget division,2019,1,7000
6,direct for education and human resources,1982,2,52800
7,direct for education and human resources,1985,1,4000
8,direct for education and human resources,1986,4,1796159
9,directorate for biological sciences,1900,1,683
10,directorate for biological sciences,1962,1,0
11,directorate for biological sciences,1963,1,15000
12,directorate for biological sciences,1965,1,144000
13,directorate for biological sciences,1966,1,37150
14,directorate for biological sciences,1967,2,8000
15,directorate for biological sciences,1968,3,74000
16,directorate for biological sciences,1969,8,247300
17,directorate for biological sciences,1970,3,134600
18,directorate for biological sciences,1971,14,323550
19,directorate for biological sciences,1972,7,70550
20,directorate for biological sciences,1973,2,82400
21,directorate for biological sciences,1974,2,17500
22,directorate for biological sciences,1975,2,11210
23,directorate for biological sciences,1976,20,29488
24,directorate for biological sciences,1977,32,82837
25,directorate for biological sciences,1980,1,148600
26,directorate for biological sciences,1982,1,18200
27,directorate for biological sciences,1983,1,30500
28,directorate for biological sciences,1984,7,1013666
29,directorate for biological sciences,1986,1,0
30,directorate for biological sciences,1987,172,28099796
31,directorate for biological sciences,1988,43,2069830
32,directorate for biological sciences,1989,2,265070
33,directorate for biological sciences,1990,4,186250
34,directorate for biological sciences,1991,37,2758163
35,directorate for biological sciences,1992,20,883030
36,directorate for biological sciences,1997,1,99123
37,directorate for biological sciences,1999,1,3327
38,directorate for biological sciences,2005,2,73000
39,directorate for biological sciences,2008,1,12000
40,directorate for biological sciences,2012,1,455210
41,directorate for biological sciences,2017,1,14000
42,directorate for computer and information science and engineering,1900,1,22742
43,directorate for computer and information science and engineering,1968,3,148350
44,directorate for computer and information science and engineering,1969,4,202206
45,directorate for computer and information science and engineering,1970,6,186900
46,directorate for computer and information science and engineering,1971,2,131750
47,directorate for computer and information science and engineering,1972,3,349900
48,directorate for computer and information science and engineering,1973,19,2146925
49,directorate for computer and information science and engineering,1974,13,929275
50,directorate for computer and information science and engineering,1975,18,954588
51,directorate for computer and information science and engineering,1976,31,2214767
52,directorate for computer and information science and engineering,1977,65,3911891
53,directorate for computer and information science and engineering,1978,116,12349006
54,directorate for computer and information science and engineering,1979,84,5250310
55,directorate for computer and information science and engineering,1980,96,7923740
56,directorate for computer and information science and engineering,1981,13,7501463
57,directorate for computer and information science and engineering,1988,1,48260
58,directorate for computer and information science and engineering,1994,1,50000
59,directorate for computer and information science and engineering,1999,1,206635
60,directorate for computer and information science and engineering,2001,1,97067
61,directorate for education and human resources,1982,25,916769
62,directorate for education and human resources,1985,1,25350
63,directorate for education and human resources,1986,6,1261032
64,directorate for education and human resources,1987,5,1661014
65,directorate for education and human resources,1989,1,16700
66,directorate for education and human resources,1991,2,143000
67,directorate for education and human resources,2011,1,7000
68,directorate for engineering,1900,17,9593
69,directorate for engineering,1967,28,7313587
70,directorate for engineering,1968,25,4877885
71,directorate for engineering,1969,261,39627477
72,directorate for engineering,1970,21,2999556
73,directorate for engineering,1971,75,60276041
74,directorate for engineering,1972,136,45523325
75,directorate for engineering,1973,149,64549256
76,directorate for engineering,1974,146,35190201
77,directorate for engineering,1975,185,30365167
78,directorate for engineering,1976,114,13231470
79,directorate for engineering,1977,112,23920838
80,directorate for engineering,1978,28,700586
81,directorate for engineering,1979,13,336880
82,directorate for engineering,1980,3,2178380
83,directorate for engineering,1981,2,98430
84,directorate for engineering,1982,6,1191396
85,directorate for engineering,1983,4,283970
86,directorate for engineering,1984,4,215008
87,directorate for engineering,1985,4,557085
88,directorate for engineering,1986,18,1877326
89,directorate for engineering,1987,15,1316859
90,directorate for engineering,1988,13,1749085
91,directorate for engineering,1989,3,322192
92,directorate for engineering,1990,5,305591
93,directorate for engineering,1991,1,1173021
94,directorate for engineering,1992,3,20700234
95,directorate for engineering,1995,1,176320
96,directorate for engineering,1996,1,176320
97,directorate for engineering,1998,1,176240
98,directorate for engineering,2000,1,320000
99,directorate for geosciences,1975,3,385000
100,directorate for geosciences,1978,8,8944
101,directorate for geosciences,1979,13,35568
102,directorate for geosciences,1990,1,50000
103,directorate for geosciences,1991,1,35000
104,directorate for geosciences,1995,10,4411598
105,directorate for geosciences,1997,3,2357550
106,directorate for geosciences,1998,11,6133993
107,directorate for geosciences,1999,1,3493062
108,directorate for geosciences,2000,4,2144204
109,directorate for geosciences,2001,26,12789542
110,directorate for geosciences,2002,46,29502840
111,directorate for geosciences,2003,46,14557390
112,directorate for geosciences,2004,19,10387168
113,directorate for geosciences,2005,50,24134491
114,directorate for geosciences,2006,44,28008154
115,directorate for geosciences,2007,40,16801014
116,directorate for geosciences,2008,40,13722591
117,directorate for geosciences,2009,58,26999919
118,directorate for geosciences,2010,65,17685172
119,directorate for geosciences,2011,36,13341779
120,directorate for geosciences,2012,44,27864788
121,directorate for geosciences,2014,3,3411742
122,directorate for mathematical and physical sciences,1971,1,173944
123,directorate for mathematical and physical sciences,1973,1,2000
124,directorate for mathematical and physical sciences,1977,1,24535
125,directorate for mathematical and physical sciences,1984,3,222821
126,directorate for mathematical and physical sciences,1986,1,329832
127,directorate for mathematical and physical sciences,1987,2,98300
128,directorate for mathematical and physical sciences,1988,2,284000
129,directorate for mathematical and physical sciences,1990,1,375000
130,directorate for mathematical and physical sciences,1991,2,159121
131,directorate for mathematical and physical sciences,1993,1,42679
132,directorate for mathematical and physical sciences,1995,2,113178
133,directorate for mathematical and physical sciences,1996,1,2000000
134,directorate for mathematical and physical sciences,1998,6,557490
135,directorate for mathematical and physical sciences,1999,2,252535
136,directorate for mathematical and physical sciences,2001,1,82302
137,directorate for mathematical and physical sciences,2002,2,1422289
138,directorate for mathematical and physical sciences,2003,12,6024810
139,directorate for mathematical and physical sciences,2004,8,29184954
140,directorate for mathematical and physical sciences,2005,8,4878764
141,directorate for mathematical and physical sciences,2006,5,16815329
142,directorate for mathematical and physical sciences,2007,23,8797316
143,directorate for mathematical and physical sciences,2008,31,13600821
144,directorate for mathematical and physical sciences,2009,34,9187535
145,directorate for mathematical and physical sciences,2010,11,3538465
146,"directorate for social, behavioral and economic sciences",1992,1,1363436
147,"directorate for social, behavioral and economic sciences",2003,3,618972
148,"directorate for social, behavioral and economic sciences",2004,1,20769437
149,"directorate for social, behavioral and economic sciences",2005,2,380703
150,"directorate for social, behavioral and economic sciences",2006,1,15938236
151,"directorate for social, behavioral and economic sciences",2007,7,3063775
152,"directorate for social, behavioral and economic sciences",2008,18,4988262
153,"directorate for social, behavioral and economic sciences",2009,7,798743
154,"directorate for social, behavioral and economic sciences",2010,8,2509918
155,division of acquisition and cooperative support,2002,1,2000
156,division of acquisition and cooperative support,2003,1,0
157,division of acquisition and cooperative support,2005,1,166466
158,division of acquisition and cooperative support,2006,2,738498
159,division of acquisition and cooperative support,2008,2,107581
160,division of acquisition and cooperative support,2009,3,111253
161,division of acquisition and cooperative support,2010,6,1931438
162,division of acquisition and cooperative support,2011,1,269919
163,division of acquisition and cooperative support,2014,1,1617842
164,division of acquisition and cooperative support,2016,1,10000
165,division of administrative services,1994,1,871165
166,division of administrative services,1998,1,171998
167,division of administrative services,1999,1,678446
168,division of administrative services,2000,1,911416
169,division of administrative services,2002,1,0
170,division of administrative services,2003,2,1167407
171,division of administrative services,2006,1,661859
172,division of administrative services,2010,1,92568
173,division of administrative services,2014,1,24031
174,division of administrative services,2017,2,395000
175,division of administrative services,2018,6,36558630
176,division of administrative services,2019,3,287610
177,division of astronomical sciences,1900,2,295850
178,division of astronomical sciences,1963,2,412300
179,division of astronomical sciences,1967,3,22216612
180,division of astronomical sciences,1968,2,81099393
181,division of astronomical sciences,1969,5,48220120
182,division of astronomical sciences,1970,17,2133850
183,division of astronomical sciences,1971,18,3516836
184,division of astronomical sciences,1972,18,73618047
185,division of astronomical sciences,1973,27,3200482
186,division of astronomical sciences,1974,55,136992832
187,division of astronomical sciences,1975,87,12370777
188,division of astronomical sciences,1976,115,9160866
189,division of astronomical sciences,1977,156,17700758
190,division of astronomical sciences,1978,144,85218707
191,division of astronomical sciences,1979,150,122448953
192,division of astronomical sciences,1980,141,20394945
193,division of astronomical sciences,1981,113,53177966
194,division of astronomical sciences,1982,127,26609750
195,division of astronomical sciences,1983,156,33979306
196,division of astronomical sciences,1984,152,293381799
197,division of astronomical sciences,1985,148,28828976
198,division of astronomical sciences,1986,119,58612211
199,division of astronomical sciences,1987,125,21294257
200,division of astronomical sciences,1988,130,30656507
201,division of astronomical sciences,1989,148,563135923
202,division of astronomical sciences,1990,137,32461104
203,division of astronomical sciences,1991,156,143641101
204,division of astronomical sciences,1992,141,53818662
205,division of astronomical sciences,1993,127,43107088
206,division of astronomical sciences,1994,165,564847211
207,division of astronomical sciences,1995,112,30726306
208,division of astronomical sciences,1996,116,41021348
209,division of astronomical sciences,1997,157,235231652
210,division of astronomical sciences,1998,140,38242237
211,division of astronomical sciences,1999,141,74880008
212,division of astronomical sciences,2000,132,54699052
213,division of astronomical sciences,2001,129,954628314
214,division of astronomical sciences,2002,141,42722688
215,division of astronomical sciences,2003,134,45660481
216,division of astronomical sciences,2004,147,47566753
217,division of astronomical sciences,2005,144,107827313
218,division of astronomical sciences,2006,147,57790251
219,division of astronomical sciences,2007,165,110801065
220,division of astronomical sciences,2008,196,83810844
221,division of astronomical sciences,2009,313,935520802
222,division of astronomical sciences,2010,132,292596571
223,division of astronomical sciences,2011,71,107091789
224,division of astronomical sciences,2012,61,26150801
225,division of astronomical sciences,2013,68,27996051
226,division of astronomical sciences,2014,99,438402049
227,division of astronomical sciences,2015,112,237872370
228,division of astronomical sciences,2016,236,382816093
229,division of astronomical sciences,2017,190,173260921
230,division of astronomical sciences,2018,213,155472856
231,division of astronomical sciences,2019,215,93405807
232,division of atmospheric and geospace sciences,1900,9,1001845
233,division of atmospheric and geospace sciences,1963,1,2305250
234,division of atmospheric and geospace sciences,1967,2,220894093
235,division of atmospheric and geospace sciences,1969,4,120700
236,division of atmospheric and geospace sciences,1970,10,1573400
237,division of atmospheric and geospace sciences,1971,20,59019951
238,division of atmospheric and geospace sciences,1972,45,8714522
239,division of atmospheric and geospace sciences,1973,52,7412790
240,division of atmospheric and geospace sciences,1974,104,12170789
241,division of atmospheric and geospace sciences,1975,183,22666150
242,division of atmospheric and geospace sciences,1976,184,59244341
243,division of atmospheric and geospace sciences,1977,254,214645245
244,division of atmospheric and geospace sciences,1978,277,39544886
245,division of atmospheric and geospace sciences,1979,220,28485773
246,division of atmospheric and geospace sciences,1980,256,43235348
247,division of atmospheric and geospace sciences,1981,236,44689294
248,division of atmospheric and geospace sciences,1982,230,317777037
249,division of atmospheric and geospace sciences,1983,253,44236055
250,division of atmospheric and geospace sciences,1984,294,57733218
251,division of atmospheric and geospace sciences,1985,264,55212535
252,division of atmospheric and geospace sciences,1986,263,46550816
253,division of atmospheric and geospace sciences,1987,258,487304068
254,division of atmospheric and geospace sciences,1988,252,54315562
255,division of atmospheric and geospace sciences,1989,229,51569334
256,division of atmospheric and geospace sciences,1990,255,59052063
257,division of atmospheric and geospace sciences,1991,370,85394930
258,division of atmospheric and geospace sciences,1992,298,74487991
259,division of atmospheric and geospace sciences,1993,279,468783387
260,division of atmospheric and geospace sciences,1994,293,163462919
261,division of atmospheric and geospace sciences,1995,327,80965614
262,division of atmospheric and geospace sciences,1996,331,60235067
263,division of atmospheric and geospace sciences,1997,343,90985372
264,division of atmospheric and geospace sciences,1998,292,531371058
265,division of atmospheric and geospace sciences,1999,373,187157048
266,division of atmospheric and geospace sciences,2000,385,176068527
267,division of atmospheric and geospace sciences,2001,331,103449555
268,division of atmospheric and geospace sciences,2002,365,180037716
269,division of atmospheric and geospace sciences,2003,399,754089123
270,division of atmospheric and geospace sciences,2004,387,161877312
271,division of atmospheric and geospace sciences,2005,334,131826880
272,division of atmospheric and geospace sciences,2006,338,164367922
273,division of atmospheric and geospace sciences,2007,304,126467350
274,division of atmospheric and geospace sciences,2008,330,1332091911
275,division of atmospheric and geospace sciences,2009,409,253533387
276,division of atmospheric and geospace sciences,2010,348,185005871
277,division of atmospheric and geospace sciences,2011,378,162574612
278,division of atmospheric and geospace sciences,2012,333,171459887
279,division of atmospheric and geospace sciences,2013,294,122834077
280,division of atmospheric and geospace sciences,2014,287,153644678
281,division of atmospheric and geospace sciences,2015,341,153997534
282,division of atmospheric and geospace sciences,2016,323,109279159
283,division of atmospheric and geospace sciences,2017,341,108552854
284,division of atmospheric and geospace sciences,2018,255,262668896
285,division of atmospheric and geospace sciences,2019,283,114439783
286,division of atmospheric and geospace sciences,2020,27,7967659
287,division of behavioral and cognitive sciences,1900,6,48300
288,division of behavioral and cognitive sciences,1967,1,133146
289,division of behavioral and cognitive sciences,1969,6,436400
290,division of behavioral and cognitive sciences,1970,8,978000
291,division of behavioral and cognitive sciences,1971,23,2915950
292,division of behavioral and cognitive sciences,1972,43,4099567
293,division of behavioral and cognitive sciences,1973,89,10180481
294,division of behavioral and cognitive sciences,1974,190,17215150
295,division of behavioral and cognitive sciences,1975,275,12935793
296,division of behavioral and cognitive sciences,1976,384,26513710
297,division of behavioral and cognitive sciences,1977,430,35570997
298,division of behavioral and cognitive sciences,1978,462,29724157
299,division of behavioral and cognitive sciences,1979,453,26893462
300,division of behavioral and cognitive sciences,1980,276,17106348
301,division of behavioral and cognitive sciences,1981,251,16521584
302,division of behavioral and cognitive sciences,1982,204,10832069
303,division of behavioral and cognitive sciences,1983,262,15330029
304,division of behavioral and cognitive sciences,1984,282,23414811
305,division of behavioral and cognitive sciences,1985,273,20627218
306,division of behavioral and cognitive sciences,1986,272,22645582
307,division of behavioral and cognitive sciences,1987,285,19775816
308,division of behavioral and cognitive sciences,1988,246,28050281
309,division of behavioral and cognitive sciences,1989,303,20063925
310,division of behavioral and cognitive sciences,1990,318,22012190
311,division of behavioral and cognitive sciences,1991,303,45448404
312,division of behavioral and cognitive sciences,1992,344,32378802
313,division of behavioral and cognitive sciences,1993,311,22961246
314,division of behavioral and cognitive sciences,1994,305,25549319
315,division of behavioral and cognitive sciences,1995,333,32893154
316,division of behavioral and cognitive sciences,1996,342,56973558
317,division of behavioral and cognitive sciences,1997,356,38687272
318,division of behavioral and cognitive sciences,1998,394,37825178
319,division of behavioral and cognitive sciences,1999,409,59249769
320,division of behavioral and cognitive sciences,2000,412,53212527
321,division of behavioral and cognitive sciences,2001,456,74558532
322,division of behavioral and cognitive sciences,2002,401,57594352
323,division of behavioral and cognitive sciences,2003,406,58738491
324,division of behavioral and cognitive sciences,2004,440,59419541
325,division of behavioral and cognitive sciences,2005,485,76648666
326,division of behavioral and cognitive sciences,2006,523,79844270
327,division of behavioral and cognitive sciences,2007,605,98893588
328,division of behavioral and cognitive sciences,2008,607,104290199
329,division of behavioral and cognitive sciences,2009,711,128603417
330,division of behavioral and cognitive sciences,2010,631,103197495
331,division of behavioral and cognitive sciences,2011,480,71092463
332,division of behavioral and cognitive sciences,2012,534,88053467
333,division of behavioral and cognitive sciences,2013,466,70909675
334,division of behavioral and cognitive sciences,2014,477,79851886
335,division of behavioral and cognitive sciences,2015,536,97832330
336,division of behavioral and cognitive sciences,2016,509,94208367
337,division of behavioral and cognitive sciences,2017,505,92076806
338,division of behavioral and cognitive sciences,2018,507,99431197
339,division of behavioral and cognitive sciences,2019,399,79929019
340,division of behavioral and cognitive sciences,2020,8,976862
341,division of behavioral and neural sciences,1900,1,43700
342,division of behavioral and neural sciences,1971,2,39750
343,division of behavioral and neural sciences,1972,25,1558700
344,division of behavioral and neural sciences,1973,16,1115181
345,division of behavioral and neural sciences,1974,59,4268000
346,division of behavioral and neural sciences,1975,89,7408646
347,division of behavioral and neural sciences,1976,93,10115151
348,division of behavioral and neural sciences,1977,96,7382531
349,division of behavioral and neural sciences,1978,96,7071928
350,division of behavioral and neural sciences,1979,109,10644250
351,division of behavioral and neural sciences,1980,76,9080613
352,division of behavioral and neural sciences,1981,84,10791204
353,division of behavioral and neural sciences,1982,95,11357628
354,division of behavioral and neural sciences,1983,86,10763065
355,division of behavioral and neural sciences,1984,18,3780346
356,division of behavioral and neural sciences,1986,1,22400
357,division of biological infrastructure,1900,1,52348
358,division of biological infrastructure,1917,1,28700
359,division of biological infrastructure,1968,1,45200
360,division of biological infrastructure,1970,1,45700
361,division of biological infrastructure,1971,3,121000
362,division of biological infrastructure,1972,2,41048
363,division of biological infrastructure,1973,9,432500
364,division of biological infrastructure,1974,23,534400
365,division of biological infrastructure,1975,30,787300
366,division of biological infrastructure,1976,36,1238155
367,division of biological infrastructure,1977,46,1286736
368,division of biological infrastructure,1978,57,1858704
369,division of biological infrastructure,1979,99,5358456
370,division of biological infrastructure,1980,100,4730684
371,division of biological infrastructure,1981,103,5343268
372,division of biological infrastructure,1982,118,6128873
373,division of biological infrastructure,1983,118,6176873
374,division of biological infrastructure,1984,149,8866941
375,division of biological infrastructure,1985,146,15040610
376,division of biological infrastructure,1986,170,14162668
377,division of biological infrastructure,1987,103,4394861
378,division of biological infrastructure,1988,186,40147352
379,division of biological infrastructure,1989,315,58246445
380,division of biological infrastructure,1990,330,46769448
381,division of biological infrastructure,1991,234,46213227
382,division of biological infrastructure,1992,150,36996294
383,division of biological infrastructure,1993,217,69918702
384,division of biological infrastructure,1994,265,71528741
385,division of biological infrastructure,1995,285,63571324
386,division of biological infrastructure,1996,316,83101111
387,division of biological infrastructure,1997,248,58084393
388,division of biological infrastructure,1998,257,69857939
389,division of biological infrastructure,1999,277,90501394
390,division of biological infrastructure,2000,260,74794351
391,division of biological infrastructure,2001,315,83610214
392,division of biological infrastructure,2002,319,103238960
393,division of biological infrastructure,2003,298,89670765
394,division of biological infrastructure,2004,287,131097690
395,division of biological infrastructure,2005,261,97661021
396,division of biological infrastructure,2006,256,142963562
397,division of biological infrastructure,2007,211,78053416
398,division of biological infrastructure,2008,248,198771550
399,division of biological infrastructure,2009,373,209347455
400,division of biological infrastructure,2010,347,209088485
401,division of biological infrastructure,2011,281,486339914
402,division of biological infrastructure,2012,290,95738288
403,division of biological infrastructure,2013,290,238871731
404,division of biological infrastructure,2014,320,172500628
405,division of biological infrastructure,2015,293,107443014
406,division of biological infrastructure,2016,343,372309849
407,division of biological infrastructure,2017,278,272704257
408,division of biological infrastructure,2018,304,104412432
409,division of biological infrastructure,2019,245,84342963
410,division of biological infrastructure,2020,30,4464642
411,division of cellular biosciences,1981,48,5655848
412,division of cellular biosciences,1982,45,6590340
413,division of cellular biosciences,1983,45,5617462
414,division of cellular biosciences,1984,66,10526760
415,division of cellular biosciences,1985,62,10435000
416,division of cellular biosciences,1986,43,6171718
417,division of cellular biosciences,1987,45,7617205
418,division of cellular biosciences,1988,43,6777096
419,division of cellular biosciences,1990,2,339200
420,division of cellular biosciences,1993,1,50635
421,"division of chemical, bioengineering, environmental, and transport systems",1900,15,1313500
422,"division of chemical, bioengineering, environmental, and transport systems",1971,5,1265900
423,"division of chemical, bioengineering, environmental, and transport systems",1972,42,21492921
424,"division of chemical, bioengineering, environmental, and transport systems",1973,76,10378786
425,"division of chemical, bioengineering, environmental, and transport systems",1974,169,21875781
426,"division of chemical, bioengineering, environmental, and transport systems",1975,296,25636805
427,"division of chemical, bioengineering, environmental, and transport systems",1976,351,38716734
428,"division of chemical, bioengineering, environmental, and transport systems",1977,419,37949113
429,"division of chemical, bioengineering, environmental, and transport systems",1978,394,42604375
430,"division of chemical, bioengineering, environmental, and transport systems",1979,452,46095951
431,"division of chemical, bioengineering, environmental, and transport systems",1980,381,41446467
432,"division of chemical, bioengineering, environmental, and transport systems",1981,279,31994313
433,"division of chemical, bioengineering, environmental, and transport systems",1982,363,41132692
434,"division of chemical, bioengineering, environmental, and transport systems",1983,358,37816544
435,"division of chemical, bioengineering, environmental, and transport systems",1984,450,47008608
436,"division of chemical, bioengineering, environmental, and transport systems",1985,422,48331448
437,"division of chemical, bioengineering, environmental, and transport systems",1986,332,39716307
438,"division of chemical, bioengineering, environmental, and transport systems",1987,419,49080211
439,"division of chemical, bioengineering, environmental, and transport systems",1988,372,39855521
440,"division of chemical, bioengineering, environmental, and transport systems",1989,381,51131437
441,"division of chemical, bioengineering, environmental, and transport systems",1990,394,51840838
442,"division of chemical, bioengineering, environmental, and transport systems",1991,374,51730423
443,"division of chemical, bioengineering, environmental, and transport systems",1992,400,68679316
444,"division of chemical, bioengineering, environmental, and transport systems",1993,338,51708010
445,"division of chemical, bioengineering, environmental, and transport systems",1994,417,66387995
446,"division of chemical, bioengineering, environmental, and transport systems",1995,368,62072066
447,"division of chemical, bioengineering, environmental, and transport systems",1996,329,61612072
448,"division of chemical, bioengineering, environmental, and transport systems",1997,437,74860585
449,"division of chemical, bioengineering, environmental, and transport systems",1998,414,76615728
450,"division of chemical, bioengineering, environmental, and transport systems",1999,370,72340805
451,"division of chemical, bioengineering, environmental, and transport systems",2000,450,97457562
452,"division of chemical, bioengineering, environmental, and transport systems",2001,406,114696937
453,"division of chemical, bioengineering, environmental, and transport systems",2002,412,139578990
454,"division of chemical, bioengineering, environmental, and transport systems",2003,430,119894426
455,"division of chemical, bioengineering, environmental, and transport systems",2004,414,116068195
456,"division of chemical, bioengineering, environmental, and transport systems",2005,375,109638997
457,"division of chemical, bioengineering, environmental, and transport systems",2006,444,109821473
458,"division of chemical, bioengineering, environmental, and transport systems",2007,483,126824367
459,"division of chemical, bioengineering, environmental, and transport systems",2008,555,132710162
460,"division of chemical, bioengineering, environmental, and transport systems",2009,739,205283919
461,"division of chemical, bioengineering, environmental, and transport systems",2010,606,211467438
462,"division of chemical, bioengineering, environmental, and transport systems",2011,616,161014557
463,"division of chemical, bioengineering, environmental, and transport systems",2012,661,184455238
464,"division of chemical, bioengineering, environmental, and transport systems",2013,646,172350259
465,"division of chemical, bioengineering, environmental, and transport systems",2014,652,177968149
466,"division of chemical, bioengineering, environmental, and transport systems",2015,656,196096414
467,"division of chemical, bioengineering, environmental, and transport systems",2016,636,180922448
468,"division of chemical, bioengineering, environmental, and transport systems",2017,658,195027012
469,"division of chemical, bioengineering, environmental, and transport systems",2018,658,193554159
470,"division of chemical, bioengineering, environmental, and transport systems",2019,556,167015019
471,"division of chemical, bioengineering, environmental, and transport systems",2020,21,6317280
472,division of chemistry,1900,9,626304
473,division of chemistry,1964,1,32600
474,division of chemistry,1967,4,474590
475,division of chemistry,1968,3,136600
476,division of chemistry,1969,19,845400
477,division of chemistry,1970,51,639000
478,division of chemistry,1971,51,4296635
479,division of chemistry,1972,58,5363114
480,division of chemistry,1973,166,11882550
481,division of chemistry,1974,232,25876478
482,division of chemistry,1975,254,26447180
483,division of chemistry,1976,398,38323806
484,division of chemistry,1977,424,41016341
485,division of chemistry,1978,394,45563081
486,division of chemistry,1979,394,85532087
487,division of chemistry,1980,311,52773128
488,division of chemistry,1981,404,71286264
489,division of chemistry,1982,336,67702543
490,division of chemistry,1983,355,77834064
491,division of chemistry,1984,406,89541019
492,division of chemistry,1985,411,99817160
493,division of chemistry,1986,351,83508601
494,division of chemistry,1987,433,102222432
495,division of chemistry,1988,377,94796520
496,division of chemistry,1989,404,94187996
497,division of chemistry,1990,458,102508676
498,division of chemistry,1991,473,137516751
499,division of chemistry,1992,426,136039775
500,division of chemistry,1993,451,128429981
501,division of chemistry,1994,431,118648181
502,division of chemistry,1995,443,113540002
503,division of chemistry,1996,394,129067690
504,division of chemistry,1997,468,121894047
505,division of chemistry,1998,410,151466633
506,division of chemistry,1999,395,169454940
507,division of chemistry,2000,413,160916561
508,division of chemistry,2001,453,189253006
509,division of chemistry,2002,450,181594455
510,division of chemistry,2003,501,185751537
511,division of chemistry,2004,475,201124806
512,division of chemistry,2005,444,187546128
513,division of chemistry,2006,452,211284160
514,division of chemistry,2007,451,200054456
515,division of chemistry,2008,450,202985132
516,division of chemistry,2009,640,319088273
517,division of chemistry,2010,602,271558624
518,division of chemistry,2011,459,207457987
519,division of chemistry,2012,530,253683448
520,division of chemistry,2013,476,238765344
521,division of chemistry,2014,486,243357704
522,division of chemistry,2015,546,271067673
523,division of chemistry,2016,502,214309377
524,division of chemistry,2017,496,223377457
525,division of chemistry,2018,562,241366340
526,division of chemistry,2019,498,219873267
527,division of chemistry,2020,5,1437734
528,"division of civil, mechanical, and manufacturing innovation",1900,3,233847
529,"division of civil, mechanical, and manufacturing innovation",1960,1,125000
530,"division of civil, mechanical, and manufacturing innovation",1963,1,4286235
531,"division of civil, mechanical, and manufacturing innovation",1968,1,26780
532,"division of civil, mechanical, and manufacturing innovation",1970,3,77908
533,"division of civil, mechanical, and manufacturing innovation",1971,7,3246713
534,"division of civil, mechanical, and manufacturing innovation",1972,29,11357469
535,"division of civil, mechanical, and manufacturing innovation",1973,34,6614790
536,"division of civil, mechanical, and manufacturing innovation",1974,68,15530221
537,"division of civil, mechanical, and manufacturing innovation",1975,120,19180950
538,"division of civil, mechanical, and manufacturing innovation",1976,137,20004655
539,"division of civil, mechanical, and manufacturing innovation",1977,146,22186948
540,"division of civil, mechanical, and manufacturing innovation",1978,117,19762611
541,"division of civil, mechanical, and manufacturing innovation",1979,256,32651756
542,"division of civil, mechanical, and manufacturing innovation",1980,423,42103283
543,"division of civil, mechanical, and manufacturing innovation",1981,295,35321221
544,"division of civil, mechanical, and manufacturing innovation",1982,358,48102136
545,"division of civil, mechanical, and manufacturing innovation",1983,363,39600453
546,"division of civil, mechanical, and manufacturing innovation",1984,406,50932187
547,"division of civil, mechanical, and manufacturing innovation",1985,545,68484438
548,"division of civil, mechanical, and manufacturing innovation",1986,445,82524349
549,"division of civil, mechanical, and manufacturing innovation",1987,571,72173791
550,"division of civil, mechanical, and manufacturing innovation",1988,455,53899462
551,"division of civil, mechanical, and manufacturing innovation",1989,479,62195909
552,"division of civil, mechanical, and manufacturing innovation",1990,546,59820874
553,"division of civil, mechanical, and manufacturing innovation",1991,627,98137314
554,"division of civil, mechanical, and manufacturing innovation",1992,631,94773467
555,"division of civil, mechanical, and manufacturing innovation",1993,489,66423410
556,"division of civil, mechanical, and manufacturing innovation",1994,614,121919571
557,"division of civil, mechanical, and manufacturing innovation",1995,470,83352462
558,"division of civil, mechanical, and manufacturing innovation",1996,507,98569014
559,"division of civil, mechanical, and manufacturing innovation",1997,530,98174067
560,"division of civil, mechanical, and manufacturing innovation",1998,484,95759041
561,"division of civil, mechanical, and manufacturing innovation",1999,532,111090065
562,"division of civil, mechanical, and manufacturing innovation",2000,627,157275676
563,"division of civil, mechanical, and manufacturing innovation",2001,556,207820956
564,"division of civil, mechanical, and manufacturing innovation",2002,580,162647326
565,"division of civil, mechanical, and manufacturing innovation",2003,727,213719086
566,"division of civil, mechanical, and manufacturing innovation",2004,592,245591417
567,"division of civil, mechanical, and manufacturing innovation",2005,564,181369468
568,"division of civil, mechanical, and manufacturing innovation",2006,607,170437435
569,"division of civil, mechanical, and manufacturing innovation",2007,719,185375536
570,"division of civil, mechanical, and manufacturing innovation",2008,702,224351842
571,"division of civil, mechanical, and manufacturing innovation",2009,964,392903708
572,"division of civil, mechanical, and manufacturing innovation",2010,802,290171777
573,"division of civil, mechanical, and manufacturing innovation",2011,758,235905420
574,"division of civil, mechanical, and manufacturing innovation",2012,736,219864829
575,"division of civil, mechanical, and manufacturing innovation",2013,795,296435076
576,"division of civil, mechanical, and manufacturing innovation",2014,835,274595828
577,"division of civil, mechanical, and manufacturing innovation",2015,1048,374473114
578,"division of civil, mechanical, and manufacturing innovation",2016,1068,431706813
579,"division of civil, mechanical, and manufacturing innovation",2017,982,354067406
580,"division of civil, mechanical, and manufacturing innovation",2018,1037,355430274
581,"division of civil, mechanical, and manufacturing innovation",2019,984,342108617
582,"division of civil, mechanical, and manufacturing innovation",2020,38,18423892
583,division of computer and network systems,1900,2,186877
584,division of computer and network systems,1965,1,4966833
